Product,Region,Sales,Profit,City
Desktop,East,2172,223,Ahemdabad
Tablet,North,4233,298,Mumbai
Desktop,Central,4222,991,Kutch
Smartphone,North,3322,494,Patan
Laptop,West,4398,811,Patan
Laptop,South,4649,691,Patan
Smartphone,Central,4658,523,Patan
Headphones,East,3401,502,Ahemdabad
Tablet,South,1470,918,Mumbai
Smartphone,North,668,747,Kutch
Headphones,North,1534,503,Bhopal
Tablet,South,2577,345,Pune
Tablet,North,3874,796,Gandhinagar
Laptop,North,4274,223,Amreli
Desktop,South,1603,484,Rajkot
Headphones,South,1991,451,Noida
Desktop,East,1322,538,Gandhinagar
Smartwatch,South,2598,719,Rajkot
Smartwatch,Central,2361,367,Gandhinagar
Tablet,Central,2154,209,Rajkot
Desktop,North,547,517,Pune
Smartwatch,East,2897,963,Amreli
Headphones,North,3154,577,Ahemdabad
Smartwatch,West,2220,664,Pune
Smartphone,Central,2906,933,Amreli
Desktop,East,2019,156,Gandhinagar
Smartphone,South,3104,553,Noida
Desktop,East,3165,123,Pune
Headphones,North,4524,541,Patan
Smartphone,North,3754,615,Ahemdabad
Desktop,South,958,906,Amreli
Smartphone,East,3241,933,Mumbai
Headphones,South,1055,200,Delhi
Smartwatch,South,1016,940,Bangalore
Smartphone,South,2020,283,Hyderabad
Desktop,West,1203,307,Chennai
Laptop,South,4073,129,Pune
Headphones,South,2737,316,Amreli
Laptop,North,1682,321,Gandhinagar
Tablet,East,1912,205,Noida
Laptop,South,614,976,Pune
Headphones,South,3318,681,Patan
Laptop,West,685,646,Ahemdabad
Smartwatch,Central,3742,817,Patan
Smartwatch,South,2975,428,Patan
Desktop,North,2949,812,Patan
Smartphone,South,1832,314,Patan
Desktop,South,2751,810,Ahemdabad
Smartwatch,Central,2388,823,Mumbai
Tablet,North,2446,686,Kutch
Headphones,West,4857,196,Bhopal
Desktop,East,1392,315,Pune
Tablet,Central,737,564,Gandhinagar
Laptop,Central,3674,494,Amreli
Smartwatch,Central,4600,892,Rajkot
Smartwatch,North,1880,428,Mumbai
Smartwatch,West,2900,544,Kutch
Tablet,South,3436,245,Patan
Desktop,East,4862,634,Patan
Desktop,Central,1536,210,Patan
Laptop,South,4882,925,Patan
Desktop,West,4384,245,Ahemdabad
Headphones,North,1090,652,Mumbai
Headphones,South,3087,472,Kutch
Tablet,Central,764,586,Bhopal
Tablet,North,1582,650,Pune
Desktop,East,1735,155,Gandhinagar
Laptop,Central,3882,550,Amreli
Tablet,East,3743,53,Rajkot
Headphones,North,1406,699,Noida
Smartwatch,West,964,731,Gandhinagar
