Order_ID,Customer_ID,Product_Category,Product_Name,Quantity,Price_per_Unit,Total_Amount,Order_Date,Payment_Method,Delivery_Status
1001,C0655,Toys,Dollhouse,2,345,690,2023-01-23,Credit Card,Pending
1002,C0115,Beauty,Shampoo,4,1921,7684,2023-03-07,PayPal,Canceled
1003,C0026,Clothing,T-Shirt,1,373,373,2023-09-13,Credit Card,Pending
1004,C0760,Sports,Yoga Mat,2,1816,3632,2023-05-24,Credit Card,Delivered
1005,C0282,Sports,Running Shoes,5,1838,9190,2023-07-04,Credit Card,Canceled
1006,C0251,Beauty,Lipstick,2,449,898,2023-08-09,PayPal,Pending
1007,C0229,Beauty,Shampoo,5,1853,9265,2023-05-25,COD,Canceled
1008,C0143,Toys,Lego Set,4,1045,4180,2023-05-15,PayPal,Pending
1009,C0755,Home,Blender,1,1818,1818,2023-11-10,Debit Card,Pending
1010,C0105,Toys,Puzzle,1,1879,1879,2023-05-16,Credit Card,Pending
1011,C0693,Beauty,Lipstick,3,824,2472,2023-09-22,Debit Card,Canceled
1012,C0759,Beauty,Perfume,1,517,517,2023-06-10,Debit Card,Delivered
1013,C0914,Beauty,Conditioner,4,634,2536,2023-08-12,PayPal,Delivered
1014,C0559,Electronics,Smartphone,2,162,324,2023-03-26,Debit Card,Delivered
1015,C0090,Clothing,T-Shirt,4,1369,5476,2023-06-11,PayPal,Canceled
1016,C0605,Sports,Yoga Mat,1,421,421,2023-09-09,COD,Pending
1017,C0433,Clothing,Sweater,2,322,644,2023-03-19,COD,Pending
1018,C0033,Electronics,Smartwatch,4,1749,6996,2023-10-12,Credit Card,Delivered
1019,C0031,Sports,Yoga Mat,1,725,725,2023-12-03,Credit Card,Canceled
1020,C0096,Clothing,Jeans,1,1519,1519,2023-11-22,Credit Card,Canceled
1021,C0224,Sports,Dumbbells,1,1092,1092,2023-08-14,Debit Card,Delivered
1022,C0239,Beauty,Moisturizer,3,1460,4380,2023-01-28,PayPal,Delivered
1023,C0518,Toys,Lego Set,3,841,2523,2023-04-07,COD,Canceled
1024,C0617,Beauty,Shampoo,3,799,2397,2023-03-18,Debit Card,Pending
1025,C0028,Electronics,Smartphone,2,875,1750,2023-01-28,PayPal,Canceled
1026,C0575,Toys,Board Game,4,1700,6800,2023-04-28,COD,Pending
1027,C0204,Sports,Yoga Mat,2,22,44,2023-04-04,Debit Card,Delivered
1028,C0734,Toys,Puzzle,2,1080,2160,2023-01-19,Debit Card,Pending
1029,C0666,Electronics,Tablet,1,516,516,2023-08-29,Debit Card,Delivered
1030,C0719,Electronics,Smartwatch,5,270,1350,2023-05-14,PayPal,Pending
1031,C0559,Beauty,Conditioner,5,920,4600,2023-03-25,Debit Card,Pending
1032,C0430,Beauty,Perfume,1,953,953,2023-12-28,Debit Card,Canceled
1033,C0226,Sports,Dumbbells,5,731,3655,2023-08-28,Credit Card,Delivered
1034,C0460,Sports,Cycling Helmet,2,1196,2392,2023-08-12,Credit Card,Delivered
1035,C0604,Sports,Yoga Mat,4,1118,4472,2023-03-01,Debit Card,Canceled
1036,C0285,Toys,Board Game,3,726,2178,2023-09-11,COD,Pending
1037,C0829,Toys,Dollhouse,2,374,748,2023-01-21,COD,Canceled
1038,C0891,Toys,Lego Set,2,1476,2952,2023-08-15,Debit Card,Pending
1039,C0007,Toys,Action Figure,4,1446,5784,2023-07-02,Credit Card,Canceled
1040,C0778,Beauty,Shampoo,5,764,3820,2023-12-30,PayPal,Delivered
1041,C0826,Toys,Dollhouse,4,1103,4412,2023-10-15,PayPal,Delivered
1042,C0164,Beauty,Lipstick,2,1262,2524,2023-09-06,PayPal,Delivered
1043,C0715,Home,Microwave,1,1708,1708,2023-08-23,Debit Card,Pending
1044,C0433,Electronics,Laptop,1,672,672,2023-09-10,PayPal,Delivered
1045,C0349,Beauty,Lipstick,2,640,1280,2023-02-27,Credit Card,Delivered
1046,C0285,Sports,Running Shoes,1,1224,1224,2023-03-17,Debit Card,Delivered
1047,C0160,Sports,Yoga Mat,5,713,3565,2023-03-05,PayPal,Canceled
